,hour,minute,price,time
34,6,32,111.42,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=32, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
35,6,33,111.42,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
36,6,33,111.42,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
37,6,33,111.42,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
38,6,33,111.48,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
39,6,33,111.48,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
40,6,33,111.48,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
41,6,33,111.48,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
42,6,33,111.48,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
43,6,33,111.56,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
44,6,33,111.56,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
45,6,33,111.56,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
46,6,33,111.66,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=33, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
